Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store,Number of Ratings
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,à¦ªà§à¦°à§à¦·à¦¦à§‡à¦° à¦œà¦¨à§à¦¯ à¦ªà§à¦¯à¦¾à¦¨à§à¦Ÿ à¦¸à¦¹ à¦•à¦¾à¦²à§‹ à¦°à¦™à§‡à¦° à¦¸à§à¦Ÿà¦¾à¦‡à¦²à¦¿à¦¶ à¦¹à§à¦¡à¦¿ à¦¸à§‡à¦Ÿ - Hudi For Men - Hoodie For Men,1500,722,52.0,BD Shirt Bazar,81,0,99,Free Delivery,Cash on Delivery Available,No,50
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Hoodie with pant For Man,1500,770,49.0,Cotton Lab.,83,0,99,Free Delivery,Cash on Delivery Available,No,25
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Winter Hoodie For Men,599,394,34.0,Dhaka Fashion Wear,83,0,84,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Half Sleeve Cotton Polor Shirt for Men - Maroon - Polo T Shirt - Polo T Shirt,799,155,81.0,Brother Fashion,83,0,96,Free Delivery,Cash on Delivery Available,No,112
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish 2/3 Quarter Pant For Men - Short Pant For Men,499,99,80.0,Fashion Sayma,0,0,89,Free Delivery,Cash on Delivery Available,No,28
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Alamdulillah Hoodie for Men Black,850,342,60.0,My shop2,86,0,99,Free Delivery,Cash on Delivery Available,No,199
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Parachute Fabrics Shorts Black,900,286,68.0,Trust Sports,79,0,97,Free Delivery,Cash on Delivery Available,No,383
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Navy Bulu Winter Jacket set for Man,1250,722,42.0,Cotton Lab.,83,0,99,Free Delivery,Cash on Delivery Available,No,14
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,"NEW STYLE POLO SHIRT FOR MEN,S 2023",215,185,14.0,ISMAIL EXPORT BD,80,0,93,Free Delivery,Cash on Delivery Available,No,178
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylist Design Premium Summer Polo Shirt For Men - Polo T Shirt,299,180,40.0,Dhaka Fashion Wear,83,0,84,Free Delivery,Cash on Delivery Available,No,148
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,"Stay Stylish with a Hoodie Without Sleeves - Cotton - Easy To use and Clean, A Unique Choice For Fashion-Forward Individuals",599,162,73.0,H.I.P Fashion,88,0,100,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men's Fashionable Full Sleeves Hooddie& Full Pants Set Combo For Man,1599,695,57.0,Hasna Fashion,86,0,99,Free Delivery,Cash on Delivery Available,No,34
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Bangladesh World Cup black Polo Cricket jersey for Man By Rks Fashion bd 2023,450,197,56.0,RKS Mega Mall,72,0,99,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Hoodie For Men - Jacket For Men - Winter Collection For Men - Jacket For Men - Winter Collection For Men - Jacket,1200,539,55.0,Bd Fashion World Shop,76,0,99,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Fabrilife Single Jersey Knitted Cotton Polo - Iceberg Green,685,638,7.0,Fabrilife,92,0,94,Free Delivery,Cash on Delivery Available,Yes,24
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Casual Long Sleeve hoodie For Men,1050,355,66.0,Cross Fashion Wear,87,0,100,Free Delivery,Cash on Delivery Available,No,27
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Trendy Fashionable Cotton Polo Shirt For Men - Polo T Shirt - Polo T Shirt,289,201,30.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,155
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Stylish Winter Bonded Jacket For Men - Jacket For Men - Winter Collection For Men - Jacket,1400,569,59.0,Roll One,87,0,98,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Sky blue Polo JPN T-shirt for man-20-Polo T shirt - Polo T Shirt,499,195,61.0,A-MAN's,85,0,99,Free Delivery,Cash on Delivery Available,No,435
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Hoodie Jacket For Men,1000,349,65.0,Colors Bangladesh,0,0,97,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,White Casual Winter Sweatshirt For Men-White Casual Winter Sweatshirt For Men - Hoodie For Men - Hoodie - Hudi For Men - à¦—à§‡à¦žà§à¦œà¦¿ à¦›à§‡à¦²à§‡à¦¦à§‡à¦° - T Sirt,899,195,78.0,Mehmed Fashion,83,0,98,Free Delivery,Cash on Delivery Available,No,62
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Multicolor Stylish Casual Long Sleeve Hoodies For Men,958,274,71.0,R-Style,90,0,100,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Winter Jacket For Men Premium Quality,1150,445,61.0,Hat-A-Toiri-Poshak,88,0,88,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Comfortable Three Quarter Pant For Men - Short Pant For Men - Short Pant,310,181,42.0,NUHAN FASHION,73,0,91,Standard Delivery,Cash on Delivery Available,No,57
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Bashundhara Kings Football club Shorts pant,550,243,56.0,China Shop BD,87,0,98,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New 100% Cotton Shorts / Half Pants For Men - Short Pant For Men,289,191,34.0,Samiya T- Shirt collection,0,0,91,Standard Delivery,Cash on Delivery Available,No,31
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Trendy Fashionable Cotton Polo Shirt For Men,249,216,13.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,857
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Jolpai Color Cotton Full Sleeve Hoodie for Men,1299,569,56.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,15
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Jpn Yellow Staylish cotton polo - Polo T Shirt,799,234,71.0,Brother Fashion,83,0,96,Free Delivery,Cash on Delivery Available,No,322
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Phillies Hoodie / Jacket For Men - Hoodie For Men - Hoodie For Men - Hoodie For Men - Hoodie - Hudi For Men,700,388,45.0,Sonam World,87,0,0,Free Delivery,Cash on Delivery Available,No,23
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Trendy Core Printed Polo shirt for Men,299,245,18.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,97
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Trendy Fashionable Silk Polo Shirt for Men - Men's Polo T-Shirt,249,224,10.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,174
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,SMUG Premium Sports Shorts - Soft and Comfortable,525,266,49.0,SMUG.,86,0,99,Free Delivery,Cash on Delivery Available,Yes,154
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Korean Trendy Stylist Premium Half Sleeve Summer Polo Shirt For Men,289,229,21.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,44
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Jacket Navy Blue Colour For Men,850,420,51.0,UPDATE BAZAR BD,78,0,99,Free Delivery,Cash on Delivery Available,No,8
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Imperfectly Perfect Logo Printed Full Sleeves Pull Over Hoodies For Men - Hoodie For Men - Winter Collection For Men - Hoodie For Men - Hoodie - Hudi For Men,499,340,32.0,RIZVI FASION,75,0,89,Standard Delivery,Cash on Delivery Available,No,6
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Black Color Cotton Full Sleeve Hoodie for Men,1299,569,56.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,14
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Comfortable Three Quarter Pant For Men's,199,183,8.0,TG FASHION,74,0,95,Standard Delivery,Cash on Delivery Available,No,143
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Winter sweatshirt for men long sleeves,350,259,26.0,Shokher Bazar Gaz,75,0,98,Free Delivery,Cash on Delivery Available,No,18
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Fabrilife Single Jersey Knitted Cotton Polo Navy,800,675,16.0,Fabrilife,92,0,94,Free Delivery,Cash on Delivery Available,Yes,227
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Trendy Short - Three Quarter Pant Soft and Comfortable Wear,650,261,60.0,NowDeal Shopping,90,0,99,Free Delivery,Cash on Delivery Available,No,60
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylist Premium Quality Summer Polo Shirt For Men - Polo T Shirt,289,223,23.0,Classic Pose,80,0,99,Free Delivery,Cash on Delivery Available,No,116
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Sleeveless Hoodie for Men – Megi/Maggi Hata Hudi for Men - Hoodies & Sweatshirts - Black,449,188,58.0,The Sweet Team,0,0,100,Standard Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Multi Color Hoodies For Man - Hoodie For Men - Hoodie For Men - Hoodie - Hudi For Men,600,289,52.0,Ten Point,89,0,98,Standard Delivery,Cash on Delivery Available,No,126
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Plain Black & White Hoodies - Hoodie For Men - Hoodie For Men - Hoodie - Hudi For Men,1399,500,64.0,Mou Fashion,76,0,0,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Jacket For Men,1000,391,61.0,My shop2,86,0,99,Free Delivery,Cash on Delivery Available,No,75
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,NEW STYLIST FULL SLEEVE GENTS JACKET FOR MEN,1800,899,50.0,Winter Collection,84,0,99,Free Delivery,Cash on Delivery Available,No,9
