Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Adjustable Back Posture Corrector Back Pain Relief Belt Spine Waist Support Correction Straps Posture Belt,700,420,40,LD Gadgets,1,75,0,87,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Adjustable Shoulder Support Brace for Effective Back Pain Relief - Ergonomic Posture Corrector Belt with Customizable Support,400,299,25,RL BD,0,81,0,96,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Stair Stepper with Resistance Bands and LCD Monitor for Body Workout,8500,4300,49,Sports 360,7,85,0,100,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Elastic Resistance Loop Bands Gym Yoga Exercise Fitness Workout Stretch BDM,199,107,46,Ubest,1,82,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Cervical Massage Pad, Cervical Massage Patch Mini Portable Electric Massager Patch for Neck Shoulder Spondylosis(only pad) Onex BD",550,87,84,Onex BD,4,81,0,98,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Roller Foam 17"" - Angle Spike - Fitness Mart",1250,897,28,FITNESS MART,4,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Back Massager Stretcher Equipment Massage Tools Massageador Magic Stretch Fitness Lumbar Support Relaxation Spine Pain Relief,590,310,47,SR Unique Zone,11,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,1pc Yoga Block Fitness Equipment Pilates Foam Roller Fitness Gym Exercises,946,608,36,Jetting,3,84,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Adjustable Back Posture Corrector Back Pain Relief Belt Spine Waist Support Correction Straps Posture Belt,700,378,46,LD Gadgets,2,75,0,87,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,YOGA MAT 2'/6' Tp Rubber 6mm Pati,950,686,28,Sports 360,61,85,0,100,Free Delivery,Cash on Delivery Available,Yes
