Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Motorola e32 4GB/64GB 4G Smartphone,15999,14584,9,Motorola,15,90,100,35,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Cat S22 Flip (16GB) 2.8"" Touchscreen, Android 11, IP68 Water Resistant, 4G LTE GSM (T-Mobile Unlocked for MetroPCS, Global) (Black)",10999,10000,9,Nexus Communication,2,0,0,94,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Tecno Spark 10C (8/128GB) Smartphone,14490,13559,6,Alapon Computer,4,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Tecno Spark 10 Pro (4 /128GB) Smartphone,15690,14649,7,Alapon Computer,7,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony Innova 10 (4 GB/ 64 GB),10999,10215,7,SYMPHONY,19,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,HONOR X5 Plus 5200mAh Battery 50MP Dual Camera 90Hz Eye-Comfort Display 4/64GB Large Expandable Storage -1 year Warranty,13999,13730,2,HONOR,5,97,0,89,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i8 Glory (RAM-3GB/ROM-32GB)3100mAH Mobile Phone,3699,3599,3,Imam Telecom,33,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Smile Q8 SIlver (RAM-3GB/ROM-32GB)3600mAH Mobile Phone,3999,3899,3,Imam Telecom,6,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,OPPO A58 (6/128GB) Smartphone,20990,19989,5,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme C30s (3GB/64GB) Mobile Phone,10999,10800,2,Realme (Bangladesh),27,93,100,79,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 10 (4GB RAM + 64GB) Unofficial Indian Variant,18999,16499,13,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A24 (8/128) 50.0 MP Camera Smartphone (Unofficial),37999,25999,32,Phone Palace,2,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Smile Q9 Super (RAM-4GB/ROM-64GB)3900mAH Mobile Phone,5199,5099,2,Imam Telecom,68,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Imam i8 Dhalia (RAM-3GB/ROM-32GB)3100mAH Mobile Phone,3699,3599,3,Imam Telecom,15,0,100,100,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Samsung Galaxy A34 5G (8/128) 48 MP Camera Smartphone (Unofficial),33999,32819,3,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,"OPPO A78 Smartphone (8 RAM/256GB ROM) 5000 mAh Battery Mobile Phone - Mist Black, Aqua Green Color",27990,27990,0,OPPO,9,82,100,93,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Samsung Galaxy A04e 6.5"" Android 12 One UI Core 4.1 3GB RAM 32GB ROM Li-Po 5000 mAh Battery with 13 MP Main and 5 MP Front Camera",14899,14313,4,Samsung Mobile Bangladesh,15,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,POCO C55- ( 6GB/128 GB ) ( Unofficial Global Variant ),19499,13999,28,Phone Palace,2,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,OPPO A17K 4G 3GB RAM/64GB ROM Water Resistance IPX4 Smartphone - 5000mAh Battery Mobile Phone,12990,12990,0,OPPO,5,82,100,93,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Motorola E13 Smartphone - 4GB RAM, 64GB Storage",13500,12500,7,Motorola,14,90,100,35,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Motorola e22s 4GB/64GB 4G Smartphone,14999,13543,10,Motorola,13,90,100,35,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Smile Q8 Shine Gradient Color Matching Smart Phone (RAM-3GB/ROM-32GB) 3100mAH,3699,3599,3,Imam Telecom,2,0,100,100,Free Delivery,Cash on Delivery Available,Yes
