Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
TV & Home Appliances,https://www.daraz.com.bd/televisions/,ROWA 43U62 43 Inch 4K Android Smart Google TV Ultra HD 3840 x 2160 Pixels Resolution Television,51900,36832,29,TV Hut And Electronics,5,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 43'' 4K SMART LED TV VOICE CONTROL DOUBLE GLASS,36000,23998,33,New Udoy Electronics,5,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SONY PLUS 43 android version 9.0 Ram 2GB/16GB SMART HD TV,33000,19989,39,New Udoy Electronics,14,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Haier H50P7UX 50 Inch 4K UHD Google TV,69900,52621,25,TV Hut And Electronics,3,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Xiaomi TV A2 55"" | 4K UHD Smart TV",72990,57190,22,Amaya,49,88,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus Elite 24 Inch HD LED TV 4K Supported Basic Television (Resolution 1080P 1366 x 768),11000,7790,29,TOP TEN BD,82,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SINGER Primax 4K Android TV | S43 | SLE43U5000GOTV,46990,37990,19,Singer,1,86,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SONY PLUS 32'' Voice Control TV Android Smart Wifi TV HD LED TV 4K Supported RAM 2GB ROM 16GB,24900,14900,40,TOP TEN BD,22,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Vikan 43 Inch 4k Supported Smart Android HD LED TV Wi-Fi and 2GB RAM 16GB ROM - Smart Tv,39900,20750,48,Electro World Corporation,11,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier H55P7UX - 55"" HQLED Smart Google TV with Free Bongo Subscription",84900,69900,18,Haier,0,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 32 Inch HD LED 4k Supported Basic TV,18500,11870,36,TOP TEN BD,60,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"32'' Double Glass- WiFi Smart Android LED TV. (2GB RAM, 16GB ROM)",19000,12900,32,H.Rahman & Co,11,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SP 32 Inch Ultra Slim HD LED TV 4K Supported - Experience Stunning Visuals with 4K Support on a 32-Inch Ultra-Slim LED TV,16000,10192,36,HABIB & CO,7,90,0,100,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 40-inch HD LED TV - 4K Video Support,24500,16730,32,TOP TEN BD,23,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Vikan 32 Inch Double Glass TV Android Smart Wifi TV HD Led Tv 4K Supported RAM 2GB ROM 16GB,25500,14297,44,Electro World Corporation,96,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,ROWA 32S52 32 Inch HD Android Smart LED Television,27900,19779,29,TV Hut And Electronics,6,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,MANGO Smart TV 32 TV Borderless LED Smart TV (MG32FW1),37700,19097,49,MANGO Electronics,21,85,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Minister M-43 ANDROID VOICE MI43M30PVB BLACK,49500,29999,39,Minister-Myone Group,1,88,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"KuGou TV 43"" 2GB Ram Frameless Android 11.0 Smart TV 1080P Full HD LED TV",39990,22890,43,Heng Yuan International,118,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,24'' WiFi- RAM -1GB - ROM - 8GB Smart Android TV,12000,9700,19,H.Rahman & Co,68,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 24 Inch 4K Supported ( Ram 1 gb Rom 8 gb ) Android Smart Television Wi-Fi Hd Led Tv 4k Supported,16500,9800,41,TOP TEN BD,2,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Haier H43K800FX 43 Inch FHD Android Smart TV,42900,29099,32,TV Hut And Electronics,1,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 75 inch Air slim new model 2022 BU8100 4K smart crystal 4K - Smart TV,295000,141999,52,New Udoy Electronics,4,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,KuGou TV 50 2GB Ram 4K Voice Control Smart TV Android 11.0 Smart LED TV,68999,32640,53,Heng Yuan International,2,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"KuGou 32 TV 2GB Voice Control Smart TV Android 1080p Full HD Frameless Led TV Screen Size: 32"" Frameless Voice 1080P Full HD (4k Video Can Play)",29600,14362,51,Heng Yuan International,9,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung Official warranty 55 Inch QLED 4K Smart TV (55Q60A),134900,84645,37,New Udoy Electronics,0,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 32'' 4k Supported Android Smart Television Wi-Fi Hd Led Tv 4k Supported Ram 2 gb Rom 16 gb,19900,12899,35,TOP TEN BD,212,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Exceptional Quality - Samsung 43 ""Crystal 4k UHD Smart TV Model -43 Bu8000rser (2022) - Must Have - Effortless Usage",69900,46489,33,New Udoy Electronics,4,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Sony Plus 32"" Smart Android HD LED Wi-Fi TV RAM-2 GB ROM-16 GB with WiFi Support",19500,12900,34,TOP TEN BD,43,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,32'' Smart Voice Control Led Tv (Double Glass) - Enjoy Smart Tv Experience With Voice Control And Double Glass Technology,23000,14200,38,H.Rahman & Co,6,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung T4400 32-inch HD Smart LED TV,27500,23147,16,TV Hut And Electronics,2,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung AU8000 55 InchCrystal UHD 4K Smart TV,105900,68940,35,TV Hut And Electronics,0,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,VIKAN 24 INC LED TV 4K VIDEO SUPPORTED,17000,7900,54,Electro World Corporation,91,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus TV 32 Inch HD LED TV 4k Supported Basic Television (Resolution 1080P 1366 x 768),18500,11870,36,TOP TEN BD,12,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung 43"" Q65B QLED 4K Smart TV (2022)",69000,55989,19,New Udoy Electronics,4,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,TRITON 40'' Voice Control Smart Android - 4K LED TV 2GB RAM-16GB-ROM Version-11,24000,22200,8,H.Rahman & Co,45,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 32N4010 32 Inches HD TV,23900,16889,29,Electronic Source BD,34,91,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 50 SMART ANDROID FULL HD 4K SUPPORTED LED TV,97500,34989,64,Rayns Computer,2,84,0,100,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"SAMSUNG 55-Inch QLED 4K Q70C Quantum HDR, Dual LED, Q-Symphony, Motion Xcelerator Turbo+, Smart TV 2023",182000,92990,49,New Udoy Electronics,1,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung AU7700 55 inch 4K Smart Crystal UHD TV (2021),99900,65074,35,New Udoy Electronics,5,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Xiaomi TV Q2 65"" | 4K UHD Smart TV",135990,99990,26,Amaya,0,88,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung (Model: UA32N4010AR) LED HD TV 32"" Inch Series 4 (Resolution – 1366 x 768) - Black (Official Samsung electronics Warranty)",27900,18130,35,Electro World Corporation,81,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"KuGou TV 43"" 2GB Ram Voice Control Smart TV Android 11.0 Smart TV Frameless 1080P Full HD LED TV",51990,23352,55,Heng Yuan International,4,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 32 Inch UA32T4700AR Smart Wifi Tv Voice Control Hd Led Tv Official Warranty,37900,33899,11,TOP TEN BD,23,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 43"" HQLED Google TV (H43P7UX) 4K UHD",52900,36500,31,DRM,0,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung Official 55"" Crystal UHD 4K Smart TV | 55AU8000 | Series 8",105900,68489,35,New Udoy Electronics,1,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Sony Plus 43"" Smart Android Frameless 4K Supported Led TV",65000,21490,67,World IT,8,86,0,96,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,DEIL 24'' BASIC LED TV - Black,10500,7890,25,H.Rahman & Co,78,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"GP 43 INCH VOICE CONTROL BORDERLESS SMART ANDROID LED TV 2GB RAM, 16GB ROM.",26900,21800,19,H.Rahman & Co,1,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 65 inch 65AU7700 Crystal 4K UHD Smart Led Television 2021 Model,170000,83989,51,Electronic Source BD,12,91,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,24 inches index hd led tv- 4k supported index 24 inches ultra slim hd led tv,13000,7500,42,Maa-Electronics,21,96,0,95,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 65 inch Air Slim BU8100 4K Smart Crystal (New Model 2022),134990,89990,33,Electronic Source BD,4,91,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Craft 32 Inch LED Smart TV 4K Supported Android Smart Television - 6GB RAM,25000,14606,42,TailorCraft,61,88,0,84,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 32"" Android 11 HD Smart LED TV (H32K66GH)",28900,19800,31,DRM,27,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung T5400 43"" Smart FHD LED TV",52000,37000,29,DRM,1,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 32T4400 32 Inch HD Smart LED TV,32900,21800,34,DRM,4,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung official 43 In. Class CU7500 Crystal UHD Smart TV 2023,65900,43399,34,New Udoy Electronics,0,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 32'' Double Glass Smart WIFI 4k Supported Android HD LED TV - 2 GB Ram/16 GB Rom,24500,13310,46,TOP TEN BD,18,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Walton W32D120HG1(813mm) 32 inch Smart Android TV,29400,24500,17,Walton,42,89,100,96,Standard Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,MI P1 32 Inch HD Android Smart LED TV,30000,21480,28,Electronic Source BD,122,91,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 32 inch smart Wifi HD TV 32T4400 (with Official Warranty),32900,24989,24,Electronic Source BD,28,91,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Experience Entertainment in High Definition with the AZWA 32 Inch Ultra SLIM HD LED TV - Black - Offering value and flexibility,16000,10700,33,H.Rahman & Co,47,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Walton W32F130 (813 mm) LED TV - 32 inches,18400,15500,16,Walton,60,89,100,96,Standard Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,OnePlus Y1G 32 Inch Android TV 11 Updated Global Version,26000,19200,26,DRM,1,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"24"" LED TV HD Double Glass",10500,8599,18,TailorCraft,2,88,0,84,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"32"" Android smart tv 2GB RAM",20500,12796,38,TailorCraft,2,88,0,84,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 32 Inch Android Smart 4k Supported WIFI HD LED TV - 2GB Ram/16GB Rom,22550,13409,41,TOP TEN BD,8,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,LG Official I UQ 75 SERIES I 43 INCH I 4K UHD LED I SMART TV,89900,54900,39,Rangs Electronics Ltd.,0,83,0,0,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung 65 inch 65AU7700 Crystal 4K UHD Smart Led Television 2021 Model,170000,81999,52,New Udoy Electronics,2,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Vikan 32'' 4k Supported Android Smart Television Wi-Fi Hd Led Tv 4k Supported Ram 2 gb Rom 16 gb,23500,12850,45,AZLAN MART,1,92,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Xiaomi TV Q2 55"" | 4K UHD Smart TV",105990,79990,25,Amaya,0,88,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,MANGO TV 43 FHD Smart TV Borderless with Magic Remote WebOs TV (MG43FW1),41200,29490,28,MANGO Electronics,5,85,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung 43"" 4K Smart Crystal UHD TV Model- UA43AU8000RSER Series 8",67900,47990,29,BROTHERS TRADING INTERNATIONAL,19,96,0,98,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung Q70C 55"" 4K QLED 120Hz Smart TV",220000,100000,55,DRM,2,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Xiaomi TV A2 43"" Global Version 1080p Three Years Panel Replacement Smart TV",39990,31990,20,MS SHAMIM ELECTRONICS,0,0,0,0,Standard Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Vikan 50 Inch Android Smart WiFi Voice Control 4k UHD Led Tv Ram 2 gb Rom 16 gb,49900,35999,28,Electro World Corporation,4,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SINGER S32-SLE32E3AGOTV ANDROID TV With Bluetooth5.0 and 1 GB Ram/8 GB Rom,23990,23490,2,Singer,2,86,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung Official 65Q70B 65 Inch QLED 4K UHD Smart TV,269900,129000,52,New Udoy Electronics,0,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 32"" HD Ready Miracast LED TV (H32D2M)",20900,13990,33,New Udoy Electronics,1,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,High-quality 24 Inch Hd Basic Led Tv - Basic TV,14789,8249,44,Lucky Home Appliances,10,87,0,50,Standard Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Myone 43 ""Full HD Voice Control Android Smart TV-Black and Sonali - Must Have",61000,28653,53,Minister-Myone Group,19,88,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SP 32 INCH DG BASIC LED TELEVISION,16900,10800,36,H.Rahman & Co,33,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 43"" Google Bezel Less LED TV (H43K800FX) 4 Years Brand Warranty",42900,27900,35,Electro World Corporation,0,89,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Sony Plus 50"" 4K SMART ANDROID voice control TV",40890,34300,16,New Udoy Electronics,15,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Walton SAFE LED TV SD24RX,9000,7448,17,Naba Electronics.,8,91,0,70,Standard Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/audio/?price=3000-&from=filter,Realme Buds Wireless 3 Neckband with Active Noise Cancellation Neck Band Earbuds Ear phone,4500,3499,22,Honestime International,8,96,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/audio/?price=3000-&from=filter,8GB/16GB OTG MP3 Player Voice Recorder 1.8 Inch Mini Portable Bluetooth MP3 Mini MP4 Lossless HIFI Music MP5 Walkman,5758,3026,47,Geartronic,84,81,100,56,Standard Delivery,Cash on Delivery Available,No
